Date,Debit
02-Mar-2022,65.7
02-Mar-2022,25
02-Mar-2022,500
03-Mar-2022,1.5
03-Mar-2022,30
03-Mar-2022,1439
03-Mar-2022,1.5
03-Mar-2022,30
03-Mar-2022,6640
03-Mar-2022,14865
03-Mar-2022,10100
03-Mar-2022,4741
03-Mar-2022,1500
03-Mar-2022,1.5
03-Mar-2022,30
03-Mar-2022,2887.5
03-Mar-2022,5162
03-Mar-2022,7367
04-Mar-2022,0.8
04-Mar-2022,16
04-Mar-2022,30
04-Mar-2022,1.5
04-Mar-2022,31478.22
04-Mar-2022,1.5
04-Mar-2022,30
04-Mar-2022,14899.72
04-Mar-2022,1.5
04-Mar-2022,30
04-Mar-2022,4040.85
04-Mar-2022,1.5
04-Mar-2022,30
04-Mar-2022,8478
04-Mar-2022,1289.75
04-Mar-2022,1.5
04-Mar-2022,30
04-Mar-2022,385276.68
05-Mar-2022,1.5
05-Mar-2022,30
05-Mar-2022,381860.33
09-Mar-2022,1.5
09-Mar-2022,30
09-Mar-2022,347979.63
09-Mar-2022,1.5
09-Mar-2022,30
09-Mar-2022,6000
09-Mar-2022,1.5
09-Mar-2022,30
09-Mar-2022,8000
09-Mar-2022,1.5
09-Mar-2022,30
09-Mar-2022,258908.28
09-Mar-2022,1.5
09-Mar-2022,30
09-Mar-2022,7493.94
09-Mar-2022,7.5
09-Mar-2022,150
09-Mar-2022,73795
12-Mar-2022,3078
12-Mar-2022,9000
12-Mar-2022,15150
12-Mar-2022,2650
12-Mar-2022,26186
12-Mar-2022,1220
12-Mar-2022,16150
12-Mar-2022,8253
12-Mar-2022,24725
14-Mar-2022,1.5
14-Mar-2022,30
14-Mar-2022,18300
14-Mar-2022,1.5
14-Mar-2022,30
14-Mar-2022,27000
14-Mar-2022,1.5
14-Mar-2022,30
14-Mar-2022,30000
16-Mar-2022,1.5
16-Mar-2022,30
16-Mar-2022,52399
17-Mar-2022,1.5
17-Mar-2022,30
17-Mar-2022,770553.36
18-Mar-2022,29558.5
18-Mar-2022,10205
18-Mar-2022,1.5
18-Mar-2022,30
18-Mar-2022,160715.63
18-Mar-2022,9320
21-Mar-2022,30000
21-Mar-2022,1.5
21-Mar-2022,30
21-Mar-2022,25000
21-Mar-2022,1.5
21-Mar-2022,30
21-Mar-2022,23000
22-Mar-2022,1.5
22-Mar-2022,30
22-Mar-2022,398391.08
23-Mar-2022,5000
23-Mar-2022,0.8
23-Mar-2022,1.88
23-Mar-2022,1.88
23-Mar-2022,16
23-Mar-2022,37.5
23-Mar-2022,37.5
23-Mar-2022,1.5
23-Mar-2022,30
23-Mar-2022,321431.25
25-Mar-2022,7343
25-Mar-2022,1100
25-Mar-2022,1800
25-Mar-2022,8291
25-Mar-2022,4000
25-Mar-2022,995
25-Mar-2022,1.5
25-Mar-2022,30
25-Mar-2022,32851.5
25-Mar-2022,1.5
25-Mar-2022,30
25-Mar-2022,9550
25-Mar-2022,7369
26-Mar-2022,0.8
26-Mar-2022,16
26-Mar-2022,5176
26-Mar-2022,1026
26-Mar-2022,1200
28-Mar-2022,7000
29-Mar-2022,0.05
29-Mar-2022,1
29-Mar-2022,1.5
29-Mar-2022,30
29-Mar-2022,101229.9
30-Mar-2022,1.5
30-Mar-2022,30
30-Mar-2022,8000
31-Mar-2022,10000
31-Mar-2022,4230
02-Apr-2022,4.75
02-Apr-2022,95
02-Apr-2022,4248
02-Apr-2022,0.05
02-Apr-2022,1
04-Apr-2022,4.13
04-Apr-2022,82.5
04-Apr-2022,1320
05-Apr-2022,1.5
05-Apr-2022,30
05-Apr-2022,1439
06-Apr-2022,10660
06-Apr-2022,1.5
06-Apr-2022,30
06-Apr-2022,202042.5
06-Apr-2022,1.5
06-Apr-2022,30
06-Apr-2022,155600
06-Apr-2022,1.5
06-Apr-2022,30
06-Apr-2022,713099.82
06-Apr-2022,0.05
06-Apr-2022,1
06-Apr-2022,35451
06-Apr-2022,2052
06-Apr-2022,21642
06-Apr-2022,1500
06-Apr-2022,3.75
06-Apr-2022,75
06-Apr-2022,35497.03
06-Apr-2022,3.75
06-Apr-2022,75
06-Apr-2022,250000
07-Apr-2022,24725
07-Apr-2022,22845.25
07-Apr-2022,7.5
07-Apr-2022,150
07-Apr-2022,80110
08-Apr-2022,1.5
08-Apr-2022,30
08-Apr-2022,20000
08-Apr-2022,1.5
08-Apr-2022,30
08-Apr-2022,15000
11-Apr-2022,1.5
11-Apr-2022,30
11-Apr-2022,7493.94
12-Apr-2022,5951
12-Apr-2022,4840
12-Apr-2022,1.5
12-Apr-2022,30
12-Apr-2022,160531.95
13-Apr-2022,1.5
13-Apr-2022,30
13-Apr-2022,12030
14-Apr-2022,3725
14-Apr-2022,6000
14-Apr-2022,5068
14-Apr-2022,5818
14-Apr-2022,6000
14-Apr-2022,1140
14-Apr-2022,8557
14-Apr-2022,11782
14-Apr-2022,7356
15-Apr-2022,39278.32
15-Apr-2022,1.5
15-Apr-2022,30
15-Apr-2022,18000
19-Apr-2022,1.5
19-Apr-2022,30
19-Apr-2022,209022.15
20-Apr-2022,30510
20-Apr-2022,7175
20-Apr-2022,10023
21-Apr-2022,30000
21-Apr-2022,11250
21-Apr-2022,3.75
21-Apr-2022,75
21-Apr-2022,1207707.21
21-Apr-2022,3.75
21-Apr-2022,75
21-Apr-2022,10000
21-Apr-2022,0.05
21-Apr-2022,1
22-Apr-2022,1.5
22-Apr-2022,30
22-Apr-2022,479061.14
23-Apr-2022,7.5
23-Apr-2022,150
23-Apr-2022,10632.5
25-Apr-2022,0.05
25-Apr-2022,1
25-Apr-2022,6551
25-Apr-2022,1423
25-Apr-2022,1.5
25-Apr-2022,30
25-Apr-2022,424289.25
25-Apr-2022,9815
25-Apr-2022,2000
25-Apr-2022,4607
25-Apr-2022,26056
25-Apr-2022,0.05
25-Apr-2022,1
